well,date,desc
101N01,2025-07-27 20:13:00,101N01 trip
101N01,2025-07-27 21:43:00,101N01 start
101N01,2025-07-27 17:49:00,101N01 NFE
101N01,2025-07-28 05:43:00,101N01 +2.09 hz
101N01,2025-08-01 07:43:00,101N01 +2.15 hz
101N01,2025-08-08 02:19:00,101N01 +2.21 hz
101N02,2025-07-27 20:13:00,101N02 trip
101N02,2025-07-27 21:37:00,101N02 start
101N02,2025-07-28 13:07:00,101N02 +2.05 hz
101N02,2025-07-28 13:19:00,101N02 +2.16 hz
101N02,2025-08-05 04:49:00,101N02 trip
101N02,2025-08-05 09:49:00,101N02 start
101N03,2025-07-27 17:01:00,101N03 NFE
101N03,2025-07-28 13:37:00,101N03 +5.69 hz
101N03,2025-08-07 23:25:00,101N03 +2.02 hz
101N04,2025-07-27 20:13:00,101N04 trip
101N04,2025-07-27 22:13:00,101N04 start
101N06,2025-07-27 20:13:00,101N06 trip
101N06,2025-07-27 22:19:00,101N06 start
101N06,2025-07-29 07:13:00,101N06 +2.24 hz
101N06,2025-08-08 00:37:00,101N06 +2.05 hz
101N07,2025-07-27 11:55:00,101N07 trip
101N07,2025-07-27 20:01:00,101N07 start
101N07,2025-07-27 20:13:00,101N07 trip
101N07,2025-07-27 21:49:00,101N07 start
101N07,2025-07-27 23:37:00,101N07 trip
101N07,2025-07-28 09:07:00,101N07 start
101N07,2025-07-28 14:31:00,101N07 +9.25 hz
101N07,2025-08-05 04:49:00,101N07 trip
101N07,2025-08-05 09:49:00,101N07 start
101N07,2025-08-05 11:07:00,101N07 trip
101N07,2025-08-05 12:13:00,101N07 start
101N07,2025-08-05 13:43:00,101N07 trip
101N07,2025-08-05 20:07:00,101N07 start
101N08,2025-07-27 20:13:00,101N08 trip
101N08,2025-07-27 22:01:00,101N08 start
101N08,2025-07-29 09:13:00,101N08 +8.66 hz
101N09,2025-07-27 20:07:00,101N09 trip
101N09,2025-07-27 22:19:00,101N09 start
101W05,2025-07-27 20:13:00,101W05 trip
101W05,2025-07-27 22:43:00,101W05 start
101W05,2025-07-27 18:49:00,101W05 NFE
101W05,2025-07-29 03:07:00,101W05 +2.63 hz
101W05,2025-07-29 06:19:00,101W05 +2.67 hz
101W05,2025-07-29 09:13:00,101W05 +2.33 hz
101W06,2025-07-27 20:01:00,101W06 trip
101W06,2025-07-27 20:07:00,101W06 trip
101W07,2025-07-27 20:07:00,101W07 trip
101W07,2025-07-27 22:43:00,101W07 start
101W07,2025-07-27 22:49:00,101W07 start
102N01,2025-07-28 08:01:00,102N01 NFE
102N01,2025-07-28 16:43:00,102N01 +9.86 hz
102N01,2025-07-30 09:13:00,102N01 trip
102N04,2025-07-27 08:07:00,102N04 trip
102N04,2025-07-28 09:01:00,102N04 start
102N04,2025-07-30 09:25:00,102N04 NFE
102N04,2025-07-30 15:19:00,102N04 +12.95 hz
102N04,2025-08-02 02:43:00,102N04 NFE
102N04,2025-08-02 07:31:00,102N04 +2.08 hz
102N04,2025-08-02 07:55:00,102N04 +2.02 hz
102N04,2025-08-02 10:43:00,102N04 +14.01 hz
102N04,2025-08-02 15:49:00,102N04 trip
102N04,2025-08-07 10:07:00,102N04 start
102N04,2025-08-07 22:31:00,102N04 NFE
102N04,2025-08-08 10:13:00,102N04 trip
102N04,2025-08-08 10:13:00,102N04 +11.89 hz
102N07,2025-07-29 12:37:00,102N07 NFE
102N07,2025-08-03 19:13:00,102N07 NFE
103N04,2025-08-03 22:55:00,103N04 trip
103N04,2025-08-04 08:25:00,103N04 start
103N04,2025-08-09 10:07:00,103N04 +2.04 hz
103N04,2025-08-09 10:43:00,103N04 +3.1 hz
103N04,2025-08-09 11:55:00,103N04 trip
103W06,2025-08-06 14:19:00,103W06 NFE
103W06,2025-08-07 07:19:00,103W06 trip
103W07,2025-07-29 21:37:00,103W07 trip
103W07,2025-07-30 14:01:00,103W07 start
103W07,2025-07-30 14:07:00,103W07 start
103W07,2025-07-30 14:13:00,103W07 trip
103W07,2025-07-30 14:19:00,103W07 trip
103W07,2025-08-06 17:25:00,103W07 start
103W10,2025-07-29 18:19:00,103W10 NFE
103W10,2025-07-29 23:19:00,103W10 +13.5 hz
103W10,2025-08-06 08:01:00,103W10 NFE
104N03,2025-07-30 18:25:00,104N03 NFE
104N03,2025-08-06 17:07:00,104N03 NFE
104N03,2025-08-08 18:13:00,104N03 NFE
104N11,2025-08-01 13:37:00,104N11 NFE
104N11,2025-08-09 01:43:00,104N11 NFE
104N12,2025-07-29 08:43:00,104N12 trip
104N12,2025-08-07 02:01:00,104N12 start
104W02,2025-08-07 19:25:00,104W02 trip
104W03,2025-07-31 02:13:00,104W03 trip
104W03,2025-08-02 15:07:00,104W03 start
104W03,2025-08-02 18:13:00,104W03 NFE
104W03,2025-08-03 04:37:00,104W03 trip
104W04,2025-07-28 11:31:00,104W04 NFE
104W04,2025-08-08 00:55:00,104W04 start
104W04,2025-08-09 15:37:00,104W04 trip
109W06,2025-07-27 12:25:00,109W06 trip
109W06,2025-07-28 04:13:00,109W06 start
109W06,2025-07-30 01:07:00,109W06 NFE
109W06,2025-07-30 09:19:00,109W06 +2.0 hz
109W06,2025-08-01 08:19:00,109W06 trip
109W06,2025-08-04 09:13:00,109W06 start
109W08,2025-08-01 06:13:00,109W08 trip
109W08,2025-08-01 08:55:00,109W08 start
109W08,2025-08-01 05:01:00,109W08 NFE
109W08,2025-08-07 07:43:00,109W08 NFE
109W08,2025-08-08 08:01:00,109W08 trip
109W11,2025-07-30 09:37:00,109W11 start
131P03,2025-07-29 12:37:00,131P03 start
131P03,2025-07-29 14:07:00,131P03 +4.32 hz
131P07,2025-07-27 19:31:00,131P07 +2.12 hz
131P07,2025-07-28 05:13:00,131P07 +2.22 hz
131P07,2025-07-28 15:13:00,131P07 +2.42 hz
131P07,2025-07-29 13:31:00,131P07 +2.5 hz
131P07,2025-07-29 15:07:00,131P07 +2.22 hz
131P07,2025-07-30 02:49:00,131P07 +2.84 hz
131P07,2025-07-30 08:37:00,131P07 +2.2 hz
131P07,2025-07-30 19:25:00,131P07 +2.14 hz
131P07,2025-08-01 02:07:00,131P07 +2.04 hz
131P07,2025-08-01 23:01:00,131P07 +3.3 hz
131P07,2025-08-01 23:19:00,131P07 +4.5 hz
131P07,2025-08-01 23:31:00,131P07 +2.92 hz
131P07,2025-08-03 06:01:00,131P07 +2.46 hz
131P07,2025-08-03 10:31:00,131P07 +2.04 hz
131P07,2025-08-03 17:25:00,131P07 +2.52 hz
131P07,2025-08-04 04:43:00,131P07 +2.12 hz
131P07,2025-08-05 05:01:00,131P07 +2.06 hz
131P07,2025-08-05 17:55:00,131P07 +2.54 hz
131P07,2025-08-07 10:49:00,131P07 +2.54 hz
131P07,2025-08-07 22:43:00,131P07 +2.14 hz
131P07,2025-08-08 06:13:00,131P07 +2.56 hz
131P07,2025-08-09 09:01:00,131P07 +2.54 hz
131P07,2025-08-09 13:49:00,131P07 +2.12 hz
131P07,2025-08-09 16:25:00,131P07 +2.52 hz
131P07,2025-08-09 19:31:00,131P07 +2.82 hz
131P08,2025-08-01 04:25:00,131P08 +2.12 hz
131P08,2025-08-01 05:07:00,131P08 +2.86 hz
131P08,2025-08-02 20:31:00,131P08 +2.7 hz
105N01,2025-08-02 07:01:00,105N01 trip
105N01,2025-08-03 02:07:00,105N01 start
105N03,2025-07-28 21:19:00,105N03 trip
105N03,2025-07-28 21:25:00,105N03 start
105N03,2025-07-28 21:31:00,105N03 trip
105N03,2025-07-28 21:37:00,105N03 start
105N03,2025-07-29 20:55:00,105N03 trip
105N03,2025-07-29 21:19:00,105N03 start
105N03,2025-07-29 21:19:00,105N03 +2.01 hz
105N03,2025-07-29 21:37:00,105N03 +2.05 hz
105N03,2025-07-29 22:01:00,105N03 trip
105N03,2025-07-29 22:01:00,105N03 +5.09 hz
105N03,2025-07-29 23:19:00,105N03 start
105N03,2025-07-30 03:37:00,105N03 trip
105N03,2025-07-30 04:07:00,105N03 start
105N04,2025-08-06 06:49:00,105N04 +3.11 hz
105N04,2025-08-06 11:07:00,105N04 +3.93 hz
105N04,2025-08-07 05:01:00,105N04 +3.55 hz
105N05,2025-07-31 08:13:00,105N05 NFE
105N05,2025-08-05 04:49:00,105N05 trip
105N05,2025-08-05 10:13:00,105N05 start
105N05,2025-08-05 18:43:00,105N05 trip
105N05,2025-08-05 22:19:00,105N05 start
105N05,2025-08-05 18:25:00,105N05 NFE
105N15,2025-08-01 14:19:00,105N15 NFE
105N15,2025-08-01 22:43:00,105N15 +3.09 hz
105N16,2025-07-27 15:19:00,105N16 start
105N16,2025-07-28 15:49:00,105N16 NFE
105N16,2025-07-28 22:07:00,105N16 trip
105N16,2025-07-29 01:07:00,105N16 start
105N16,2025-07-29 11:55:00,105N16 NFE
105N16,2025-07-29 16:01:00,105N16 trip
105N16,2025-07-31 14:37:00,105N16 start
105N16,2025-08-02 12:01:00,105N16 NFE
105N16,2025-08-02 19:13:00,105N16 trip
105N16,2025-08-06 07:07:00,105N16 start
105N17,2025-07-30 11:25:00,105N17 trip
105N19,2025-08-06 05:25:00,105N19 +2.89 hz
105N19,2025-08-06 11:01:00,105N19 +2.66 hz
105N19,2025-08-07 03:49:00,105N19 +2.39 hz
105W03,2025-08-05 04:43:00,105W03 trip
105W03,2025-08-05 11:07:00,105W03 start
105W03,2025-08-05 07:13:00,105W03 NFE
105W03,2025-08-05 18:37:00,105W03 trip
105W03,2025-08-05 22:19:00,105W03 start
105W05,2025-07-28 22:01:00,105W05 NFE
105W06,2025-07-27 23:55:00,105W06 NFE
105W06,2025-08-05 22:01:00,105W06 NFE
105W07,2025-07-31 06:01:00,105W07 NFE
105W07,2025-07-31 13:31:00,105W07 trip
105W07,2025-07-31 15:01:00,105W07 +21.21 hz
105W07,2025-08-05 18:37:00,105W07 trip
105W07,2025-08-05 22:19:00,105W07 start
105W07,2025-08-05 22:25:00,105W07 NFE
105W07,2025-08-06 04:13:00,105W07 trip
105W07,2025-08-06 08:01:00,105W07 start
105W11,2025-07-30 17:31:00,105W11 NFE
105W11,2025-07-30 23:43:00,105W11 +8.05 hz
105W11,2025-08-03 21:25:00,105W11 NFE
105W11,2025-08-04 01:43:00,105W11 trip
105W11,2025-08-04 16:43:00,105W11 start
105W11,2025-08-05 00:19:00,105W11 NFE
105W11,2025-08-05 08:31:00,105W11 start
105W11,2025-08-05 09:25:00,105W11 +11.53 hz
105W11,2025-08-05 21:55:00,105W11 trip
105W11,2025-08-05 22:07:00,105W11 start
105W11,2025-08-06 00:31:00,105W11 NFE
105W11,2025-08-06 06:55:00,105W11 trip
105W11,2025-08-06 14:07:00,105W11 start
105W13,2025-08-06 10:49:00,105W13 +2.48 hz
105W13,2025-08-06 11:01:00,105W13 +2.57 hz
105W13,2025-08-07 03:43:00,105W13 +2.1 hz
105W13,2025-08-07 04:01:00,105W13 +2.19 hz
105W13,2025-08-07 04:19:00,105W13 +2.35 hz
105W13,2025-08-07 04:37:00,105W13 +2.08 hz
105W13,2025-08-07 04:55:00,105W13 +2.12 hz
105W16,2025-08-05 06:37:00,105W16 trip
105W16,2025-08-05 09:43:00,105W16 start
105W16,2025-08-06 01:43:00,105W16 trip
105W16,2025-08-06 01:55:00,105W16 start
105W16,2025-08-06 02:49:00,105W16 +12.74 hz
105W16,2025-08-06 04:25:00,105W16 NFE
105W16,2025-08-06 11:19:00,105W16 trip
105W16,2025-08-07 01:25:00,105W16 start
105W17,2025-08-05 05:43:00,105W17 trip
105W17,2025-08-05 10:07:00,105W17 start
105W17,2025-08-05 18:43:00,105W17 trip
105W17,2025-08-05 22:19:00,105W17 start
106W1,2025-08-04 01:01:00,106W1 +13.25 hz
106W1,2025-08-04 01:37:00,106W1 +16.92 hz
106W1,2025-08-04 02:55:00,106W1 +6.62 hz
106W1,2025-08-04 04:13:00,106W1 +16.85 hz
106W1,2025-08-04 04:43:00,106W1 +10.57 hz
106W11,2025-07-28 00:19:00,106W11 NFE
106W11,2025-08-04 18:13:00,106W11 NFE
106W13,2025-07-30 04:13:00,106W13 +2.03 hz
106W13,2025-07-30 18:19:00,106W13 trip
106W13,2025-07-30 22:49:00,106W13 start
106W13,2025-07-30 18:55:00,106W13 NFE
106W13,2025-07-31 23:25:00,106W13 +2.17 hz
106W13,2025-08-01 02:37:00,106W13 +2.02 hz
106W13,2025-08-01 03:49:00,106W13 +2.02 hz
106W13,2025-08-02 03:31:00,106W13 +2.59 hz
106W13,2025-08-03 21:19:00,106W13 +2.58 hz
106W13,2025-08-03 23:55:00,106W13 trip
106W13,2025-08-04 00:07:00,106W13 trip
106W13,2025-08-04 11:13:00,106W13 start
106W13,2025-08-04 19:31:00,106W13 +2.01 hz
106W13,2025-08-04 21:37:00,106W13 +2.14 hz
106W13,2025-08-04 22:55:00,106W13 +2.4 hz
106W13,2025-08-06 04:07:00,106W13 +2.11 hz
106W13,2025-08-06 12:01:00,106W13 +2.15 hz
106W13,2025-08-06 17:19:00,106W13 +2.04 hz
106W13,2025-08-06 18:31:00,106W13 +2.04 hz
106W13,2025-08-07 14:13:00,106W13 +2.63 hz
106W13,2025-08-09 07:25:00,106W13 +2.29 hz
106W13,2025-08-09 18:55:00,106W13 +2.09 hz
106W13,2025-08-10 01:19:00,106W13 +2.0 hz
106W15,2025-07-28 07:43:00,106W15 NFE
106W15,2025-07-28 14:01:00,106W15 trip
106W15,2025-07-28 20:07:00,106W15 start
106W15,2025-07-28 20:49:00,106W15 trip
106W15,2025-07-29 11:07:00,106W15 start
106W15,2025-07-29 14:13:00,106W15 trip
106W15,2025-07-30 09:07:00,106W15 start
106W15,2025-07-30 09:13:00,106W15 NFE
106W15,2025-07-30 18:31:00,106W15 trip
106W15,2025-07-30 22:55:00,106W15 start
106W15,2025-07-30 19:01:00,106W15 NFE
